,DeepConvLSTM100,DeepConvLSTM25,DeepConvLSTM50,MLPMixer,PESAC,PRC,Resnet_L,Resnet_M,Resnet_S
test101,55.3921589570887,54.90196110220516,56.00490390553194,77.45098293528838,53.921569263233856,50.122551413143384,69.48529725916245,61.64215850830078,63.602945383857275
test102,40.35087795375671,29.824562285337656,41.07327293832974,50.773994540282445,37.461300944396214,27.966977187354498,58.41073523364938,33.74613078681308,36.53250887371807
test103,80.03273635839284,77.25041315325349,73.81342223584164,83.3060565704995,71.19476347547116,67.10311039301845,77.74140771594259,77.41407867032065,73.3224243189036
test104,54.41176515467026,50.612745846019074,55.02451189826517,77.696081273696,57.23039425120634,47.181373596191406,70.3431396484375,68.87255006677964,66.42157072179458
test105,79.36333816478071,72.77716944639036,77.71679569416067,86.93743417448846,76.07025473099509,63.88584023903806,84.85181514936797,80.24149543603087,83.973655256822
