,mean,std
DeepConvLSTM100,61.910175317737846,17.295621607198115
DeepConvLSTM25,57.07337036664114,18.991278198108265
DeepConvLSTM50,60.72658133442583,15.008273995350818
MLPMixer,75.23290989885095,14.242517223400004
PESAC,59.17565653306053,15.270798088000129
PRC,51.25197056574916,15.579710850076939
Resnet_L,72.16647900131197,9.896102413250302
Resnet_M,64.38328269364901,18.625163861546163
Resnet_S,64.77062091101911,17.63072561225706
